ID,Role,Region,Industry,Date,Salary_USD,Skills,Demand_Score,Supply_Score,Gap,Job_Postings
0266e526-f76a-4be3-819a-ddcbd2526b7b,Software Engineer,Northeast,Healthcare,2021-04-11,114558,"AWS, GCP, React",75,39,36,39
72ba49ab-27d5-4a3e-b912-270eaed7534e,DevOps Engineer,West,Tech,2021-07-23,121866,"Docker, GCP, AWS, Leadership, Azure",66,61,5,38
3862f145-e61d-4d7e-b2c7-cc730c080705,Data Engineer,Northeast,Tech,2023-10-15,141382,"Tableau, Deep Learning, AWS, Machine Learning, Spark, Node.js",40,62,-22,33
d23af525-50eb-41f6-a91d-f9bda442078a,Data Analyst,South,Retail,2025-06-18,71447,"Kubernetes, Communication, Azure, Tableau, Deep Learning",41,30,11,11
cc5766b3-f802-43d1-aa8e-8619822a1554,Cloud Architect,South,Manufacturing,2022-10-11,147216,"Deep Learning, Leadership, GCP, React, Kubernetes",85,74,11,45
b0374012-ec5b-4545-b4d7-2d1e8eca6881,Cloud Architect,West,Retail,2020-01-06,205348,"SQL, Tableau, Deep Learning, Docker",43,40,3,10
ecd4f34a-9a82-42da-a5de-75aa3d16ea5e,HR Manager,Northeast,Tech,2024-06-17,119051,"Kubernetes, Docker, Communication, Excel, AWS, Node.js",91,52,39,9
a829bf30-becd-45de-a4af-4ae09e5926cc,Business Analyst,West,Manufacturing,2021-04-24,108489,"Excel, AWS, Tableau, Spark, Machine Learning, Leadership",98,95,3,40
fe385fa0-dfeb-4fcb-89fd-0668af7bee90,Data Analyst,Northeast,Manufacturing,2022-11-06,80996,"Python, SQL, Machine Learning",47,33,14,5
d86675b4-1b35-4170-91fe-e0a7bd8d71d6,Data Engineer,Midwest,Finance,2023-03-15,139388,"Node.js, SQL, Deep Learning, AWS",66,67,-1,30
89a4b0fb-a3e1-44dd-aa16-c28ed7eab639,Data Scientist,West,Finance,2022-08-20,171762,"GCP, Azure, Leadership, Spark, SQL, Machine Learning",43,53,-10,12
4ce3b6c0-82aa-4164-8a73-11d77998b2a8,Cloud Architect,South,Healthcare,2020-01-12,129539,"React, Tableau, GCP, SQL, Docker",74,50,24,15
c9f29a2f-0c23-41c0-92e3-3f3f4f3c604c,Product Manager,Northeast,Retail,2020-12-08,162507,"Communication, Node.js, SQL, Leadership, Docker",59,77,-18,8
b004d4d0-1983-4ec0-b9ff-c7cb059044c8,Cloud Architect,Northeast,Healthcare,2020-05-09,168420,"Spark, AWS, Communication",53,87,-34,33
4e5dfe74-e315-442f-9043-fe6817d4eba5,Cloud Architect,South,Tech,2023-06-22,173583,"Docker, Deep Learning, AWS, Leadership, Tableau",54,59,-5,27
5d9c14b6-4504-4a4b-9ee7-6be6128e81e0,Business Analyst,West,Manufacturing,2022-04-17,95099,"SQL, Node.js, Leadership, Spark, Machine Learning, Tableau",40,54,-14,19
6364623a-9e38-4cc3-9983-cbb358804a96,Software Engineer,Midwest,Tech,2022-04-02,127611,"Deep Learning, Leadership, SQL, Machine Learning, React",77,43,34,34
08b411fd-1e78-40be-98e8-724c2e68cfb0,DevOps Engineer,Midwest,Finance,2020-02-11,125311,"GCP, Communication, Docker, Azure, Kubernetes",90,49,41,50
459b72c8-e9bb-4560-b3a3-e3c26a666b0f,Data Analyst,South,Healthcare,2023-12-06,82048,"Python, Deep Learning, Node.js, Machine Learning",62,33,29,47
ebd02e3e-7ffa-4f88-8f5e-0232373107c4,Business Analyst,Midwest,Healthcare,2021-08-13,81069,"Machine Learning, Azure, SQL, Communication",44,39,5,32
a4411aa7-8827-418f-a2bd-1a3856a55b45,HR Manager,South,Tech,2025-03-12,97012,"Excel, Communication, Azure",54,93,-39,10
77233506-362d-4a2a-ac0f-76bd342c472c,Business Analyst,Northeast,Manufacturing,2020-01-04,83050,"Spark, Leadership, Communication, Tableau",78,46,32,5
6036a4a2-b04c-472b-a792-037c9ed9575f,Data Analyst,South,Finance,2022-09-19,80762,"Docker, Leadership, Spark, Deep Learning, SQL, Tableau",78,69,9,38
a1b9e23a-2666-448a-a3c0-4fd57086ed3f,DevOps Engineer,Midwest,Tech,2022-11-09,108971,"React, GCP, AWS",63,61,2,13
e1dd37d5-d1cf-447f-8478-8db0b5f1ede6,Software Engineer,South,Tech,2023-07-04,137973,"AWS, SQL, Python, Kubernetes",59,89,-30,17
b323cb1c-b62a-46ce-8ad5-6cd28a52ac6d,Software Engineer,Northeast,Tech,2020-05-04,116011,"Excel, AWS, SQL, Spark",75,33,42,6
036b4131-406c-44bf-b0ed-1c24fcc91f2e,DevOps Engineer,Midwest,Retail,2023-04-19,96785,"Spark, SQL, AWS, Communication, Kubernetes",47,71,-24,32
54c9555a-47a2-4904-be0a-f91bb4322d87,Cloud Architect,Northeast,Tech,2023-03-25,153341,"Machine Learning, Deep Learning, AWS, Spark",85,69,16,5
53b93615-fce4-4e85-b73b-955967055855,Cloud Architect,South,Manufacturing,2023-06-21,158736,"Spark, Python, Azure, Excel",80,43,37,18
fa5fb09e-a213-41d0-8d51-c60190b19c9c,Machine Learning Engineer,West,Finance,2023-07-08,154453,"Tableau, Machine Learning, AWS",45,66,-21,49
14b844ed-e7db-4e8f-9a9c-bea611475234,Cloud Architect,West,Tech,2025-06-12,179223,"Node.js, GCP, Excel",83,61,22,39
de1d28b9-0c8a-4d88-b318-c8ce13ab213a,HR Manager,Northeast,Healthcare,2021-09-11,117238,"Kubernetes, AWS, Spark",59,45,14,41
f86391c7-69ac-4deb-a0f6-24f216cc97ad,Software Engineer,Midwest,Tech,2021-03-11,110713,"Kubernetes, Machine Learning, Deep Learning, Leadership, Communication, Node.js",56,67,-11,11
9df21314-ec97-451d-a4aa-f4ef277d347a,Product Manager,South,Manufacturing,2024-01-21,134977,"Leadership, AWS, Azure, GCP",93,88,5,48
d5ab3e39-48ce-41bb-8e20-90bdbc869028,Data Engineer,Midwest,Manufacturing,2021-09-27,117917,"Azure, Communication, AWS",45,90,-45,33
98de570c-62a2-4209-809c-f6e60ea4ee63,Business Analyst,West,Finance,2024-05-19,113724,"AWS, GCP, React, Communication, Docker",85,35,50,12
abdf8c44-7aa7-4514-b5ca-de20e5608f60,Data Scientist,South,Manufacturing,2024-08-25,127276,"Communication, Azure, Node.js, Python, GCP",92,76,16,31
90c618ee-c302-4599-9c4b-8b3dae81293f,Business Analyst,West,Tech,2023-09-14,96869,"Node.js, Communication, SQL, Machine Learning",63,92,-29,14
5f36faa8-be61-46be-8ed9-76b73af86503,DevOps Engineer,Midwest,Manufacturing,2023-03-11,120700,"Spark, SQL, Kubernetes, Docker",43,67,-24,50
afdbc668-1c23-4712-8fda-c1abdf00f7fa,Data Analyst,South,Manufacturing,2024-03-08,88143,"Node.js, Machine Learning, Azure, Docker",71,52,19,11
c5485522-37d0-4ac8-a5c2-46d283702a79,Data Engineer,South,Tech,2022-04-20,131065,"Communication, Tableau, Docker, Python, Excel, Kubernetes",93,49,44,35
5cdd6bc9-1229-45a5-b186-b2b64a5faab7,Machine Learning Engineer,Northeast,Healthcare,2020-12-28,184887,"Machine Learning, GCP, Node.js, Kubernetes",84,92,-8,28
3d4e6e51-0004-4d6c-840f-6eec085f498d,Cloud Architect,South,Healthcare,2024-10-01,157877,"Spark, Tableau, Node.js",90,54,36,50
79877fa2-9bfd-49e6-a75e-cb0b869aadaf,Data Scientist,West,Healthcare,2025-02-21,197517,"Communication, Kubernetes, AWS, Azure, Spark",97,64,33,24
050ea34e-0100-4fb1-ae9d-1de98d1ba1f1,Software Engineer,Midwest,Healthcare,2020-12-31,113316,"GCP, Azure, Machine Learning",96,57,39,15
ffcc9884-da34-488c-b7d2-4ea7d8bc0701,HR Manager,South,Tech,2021-04-30,87020,"Python, Node.js, Tableau, SQL, Kubernetes",41,33,8,26
58780120-f0d8-4af8-95d9-0e106bc765fb,Software Engineer,Midwest,Tech,2020-05-23,131007,"Node.js, Spark, GCP, React",75,85,-10,8
33019505-1f9a-478c-93d0-e93eae0f58a1,Data Engineer,West,Retail,2021-11-14,182198,"Tableau, Spark, Python",94,72,22,16
ea0a5a48-bf61-46e4-aedf-6c269a8f5488,Software Engineer,West,Manufacturing,2025-09-12,167237,"Node.js, Kubernetes, Docker",54,33,21,41
a46d7cc8-fe5e-41f2-b25f-d61978000b9a,HR Manager,West,Tech,2025-10-02,97886,"Node.js, Machine Learning, Leadership, Python, Docker, Tableau",53,80,-27,35
2eb0e947-9d24-4d76-a9c6-b87c89b6347b,Product Manager,Midwest,Finance,2024-05-21,139620,"Deep Learning, Docker, Excel, Leadership",62,39,23,5
53774869-4889-49ff-8d16-e57fa0b95f1d,Data Analyst,Midwest,Tech,2021-12-30,63679,"Docker, Azure, Python, Deep Learning",65,72,-7,23
67bae307-5a0c-4d1a-ad7c-82e8215cb70f,Cloud Architect,South,Manufacturing,2023-01-13,133628,"Tableau, Leadership, Excel, Docker, Communication",66,53,13,24
3a1da6bd-23be-458f-9c61-fda51548c37f,DevOps Engineer,Midwest,Tech,2025-01-18,99394,"Kubernetes, Leadership, Excel, Machine Learning",79,50,29,26
870be567-b25a-4674-b352-61c05dd35e0e,HR Manager,West,Finance,2024-08-25,120455,"Azure, React, SQL",57,43,14,32
dc880338-41f8-4495-bdb6-191bb580f904,Product Manager,Northeast,Tech,2024-04-25,160685,"Docker, SQL, AWS, Excel, Spark",92,85,7,14
f0847af0-ed5c-4186-bb23-962413c2fb51,Data Scientist,West,Finance,2022-12-30,149111,"Kubernetes, Python, Tableau, AWS, SQL",74,30,44,32
fee8d08a-ca70-4c60-8212-fc0b5851c1d1,Data Engineer,Midwest,Finance,2023-01-21,127539,"Excel, Azure, Node.js, Kubernetes, Communication",81,49,32,16
e077c28f-3687-492e-ad45-8e8af2102e41,Machine Learning Engineer,Midwest,Finance,2023-08-06,149550,"Machine Learning, Docker, Deep Learning, Tableau",54,58,-4,31
1d98af80-00c9-40cf-9358-0136390f3103,Data Scientist,Midwest,Healthcare,2022-12-04,123584,"React, Leadership, Spark",41,85,-44,10
1da02299-40d3-4ed2-8d93-a3114349852a,Business Analyst,West,Retail,2023-06-07,92210,"Excel, Python, SQL, Spark, Leadership",68,89,-21,40
ff990e18-a6e7-483b-916e-6461315f5106,DevOps Engineer,Northeast,Tech,2023-07-27,136425,"GCP, Docker, Tableau",55,67,-12,38
e0f60424-20ac-4b48-a760-5c43633bddfa,Product Manager,Midwest,Healthcare,2023-12-07,100938,"Deep Learning, React, SQL",58,40,18,39
aa706af2-b40c-4c1d-9e57-8c45b67482a5,Machine Learning Engineer,Midwest,Retail,2020-11-17,148751,"Kubernetes, Tableau, Spark, AWS, GCP, Docker",87,45,42,12
686e815f-3939-4928-994c-a2c8f1c1ae97,Business Analyst,South,Tech,2022-12-28,88395,"React, AWS, Spark, Kubernetes, Excel",80,32,48,30
9826b39f-eaf2-4472-80fa-40f66cac7584,Cloud Architect,West,Tech,2023-07-12,195587,"AWS, Machine Learning, Deep Learning, Leadership, Python",89,49,40,19
860634b7-bd14-4950-8737-cc178949d7cb,HR Manager,Midwest,Retail,2023-01-11,91690,"Docker, Azure, Python, Spark, Deep Learning",92,44,48,43
219e5eb6-dc5c-4c27-bfec-694b65f1f936,HR Manager,South,Healthcare,2022-01-10,80519,"Leadership, Kubernetes, React, AWS, Communication",47,73,-26,47
7a4dd774-a19b-492a-ad11-581ab7f284a4,Software Engineer,Midwest,Finance,2024-07-15,104761,"Leadership, Node.js, GCP, Excel, Docker",83,77,6,17
79791f07-2147-4b90-87f1-3dfe6ced597f,Product Manager,Northeast,Healthcare,2022-02-22,140999,"GCP, AWS, Docker, React, SQL",84,87,-3,44
c9c479f0-92c2-4524-8146-3f9e8ae7a6a6,Cloud Architect,West,Finance,2025-03-31,201613,"Deep Learning, Docker, Azure",61,61,0,21
e280e60a-de4d-4e31-8107-ab7ae7e22d13,Data Engineer,South,Finance,2020-11-22,147203,"Azure, Node.js, AWS",75,40,35,50
9a392db7-a13c-44b8-b351-841293a192ed,Data Engineer,West,Tech,2020-07-01,154491,"SQL, Kubernetes, AWS, React",75,38,37,49
1505ccc8-6976-492a-b850-c25acc991add,Data Scientist,South,Finance,2020-05-30,145344,"AWS, Node.js, Docker, Leadership",83,33,50,6
fc4db5a9-65f3-413c-a729-af98c533eb04,Cloud Architect,Northeast,Tech,2025-04-06,185708,"Deep Learning, Azure, React, Leadership",94,40,54,41
7565d6bd-b99c-4413-8fa6-0a66f470c653,Data Engineer,Northeast,Finance,2024-03-25,126912,"Azure, SQL, Tableau",56,88,-32,15
5406859e-44e2-4ce6-8fe3-0f0f7bb73f6c,Data Scientist,West,Finance,2021-02-11,166130,"SQL, Deep Learning, Excel",58,95,-37,32
8a6de5c4-b820-41f3-8042-cacacb71ecb0,DevOps Engineer,West,Finance,2025-09-19,132056,"AWS, Spark, Node.js, Kubernetes, GCP, Machine Learning",66,44,22,37
0900ee8c-a971-400c-86bb-10d5b6ec0353,Product Manager,South,Tech,2020-10-05,134430,"Azure, Spark, Python",73,35,38,15
8a8e1b5c-99df-4f6e-8218-9081789c5d54,Data Analyst,West,Retail,2022-06-17,75898,"Machine Learning, Deep Learning, Azure, AWS, Leadership, GCP",46,47,-1,23
d67a1b19-f85e-40c6-a2dc-b9902bad3402,Cloud Architect,West,Finance,2023-01-30,182212,"Communication, SQL, Deep Learning, Docker, Azure, Kubernetes",60,90,-30,47
32129862-f190-4396-94af-d728409d90c3,Data Scientist,Midwest,Healthcare,2020-09-29,133795,"GCP, Kubernetes, Docker, Spark",81,38,43,35
e9526b25-cf29-4d81-8cca-5c3b63e3937e,Cloud Architect,West,Manufacturing,2021-03-18,199300,"Excel, AWS, Machine Learning, Node.js, Kubernetes, Deep Learning",41,90,-49,7
4f3cab35-c364-475e-a26d-66b395120cd3,Business Analyst,Northeast,Manufacturing,2020-06-06,86014,"Kubernetes, Node.js, AWS, Deep Learning, Docker, Azure",41,37,4,13
1f2977b2-5fde-483f-86df-e76467edb239,Business Analyst,Midwest,Finance,2022-08-01,85971,"React, Excel, GCP, Node.js",72,49,23,45
fcb420f7-d01a-40fe-80e5-319e98657801,Data Engineer,Midwest,Healthcare,2020-06-14,122653,"React, Communication, Docker, Python, Machine Learning",99,70,29,9
d3636622-b108-44b6-9f78-bbcc0279cec6,Data Scientist,South,Retail,2021-05-30,124920,"Spark, AWS, Node.js, Kubernetes, Deep Learning, Machine Learning",40,60,-20,7
464f44b3-4f21-48e4-a273-856bdfd6c159,HR Manager,South,Finance,2020-03-09,93162,"Spark, Kubernetes, Tableau, Deep Learning, Node.js, Excel",58,93,-35,26
9ef0de20-876b-4ce6-aff0-ff9628598874,Data Scientist,South,Finance,2021-03-25,127140,"Deep Learning, Kubernetes, Python, GCP, Azure",87,92,-5,43
d5ec76e6-9c70-4e16-8c97-7de1dce5bc2c,Data Engineer,West,Retail,2021-01-03,149948,"Machine Learning, Python, Kubernetes, Spark",95,35,60,48
1831b80c-7c37-4576-9d3f-1cdaa4cdf67c,Cloud Architect,Northeast,Tech,2025-01-03,181455,"Docker, Machine Learning, Kubernetes",40,44,-4,35
8de397dd-a2a3-4193-b54f-8a9677c427c4,DevOps Engineer,South,Retail,2024-06-03,105471,"Kubernetes, Docker, AWS, Communication, Machine Learning",79,63,16,46
f4c001df-934f-42a8-8d71-2545491713a4,Business Analyst,Midwest,Healthcare,2025-06-11,73603,"React, Excel, GCP",97,50,47,47
2ceb5814-daed-4c15-a121-ef8fbd222555,Data Scientist,South,Healthcare,2024-03-31,148809,"GCP, Leadership, Tableau, Communication, SQL, Excel",65,91,-26,46
1a653f02-ca64-49f6-99f0-ecf078331be6,Data Engineer,South,Tech,2025-05-31,123207,"GCP, Python, SQL, Docker",52,95,-43,38
3371db6a-87dc-4b2e-8ffa-a449555d0e98,Cloud Architect,Northeast,Retail,2020-02-12,188300,"SQL, Docker, Azure, Excel",84,84,0,45
e24a7f32-67c8-4952-944f-e791e0037a04,Data Engineer,West,Retail,2022-08-15,158629,"Deep Learning, Tableau, Communication, Kubernetes, Azure",89,32,57,19
6467a061-c6eb-4777-863b-ad0327401b23,DevOps Engineer,South,Finance,2021-05-23,123481,"React, Deep Learning, AWS, Communication",96,93,3,44
69bed098-54ae-453b-9fc3-9992534bdb9b,Product Manager,South,Healthcare,2025-07-09,131315,"Excel, Docker, Python",82,87,-5,8
e5c15e5a-569f-452b-be44-6eac41c7846b,Software Engineer,Midwest,Tech,2021-07-12,121676,"Azure, Leadership, Communication, Spark, Excel",83,30,53,9
a2c01f74-70c2-4a10-b0cd-832183ca2e21,Product Manager,Midwest,Healthcare,2023-10-13,100705,"Excel, SQL, AWS",82,64,18,10
ca9e1d76-1dcd-4734-a0d9-471e43289d9f,DevOps Engineer,Northeast,Manufacturing,2022-07-20,138840,"Kubernetes, Excel, Tableau, Azure, GCP",96,43,53,11
77f3b7e2-a412-4588-a5db-43267b3f7f3d,Business Analyst,South,Tech,2021-05-25,81057,"Communication, Deep Learning, AWS, React, SQL",81,49,32,50
f2f0491a-e86d-4c7a-a789-d3a4a3a5dc6a,DevOps Engineer,South,Retail,2025-11-14,126296,"Leadership, Machine Learning, Kubernetes, GCP, AWS",58,89,-31,20
b8390a8e-7f1e-4e05-978d-5121e859a93a,Software Engineer,Northeast,Retail,2022-10-10,126522,"Communication, Tableau, Azure, Leadership, Docker, Excel",43,67,-24,37
daae963b-e6e1-4655-a972-6dd2a615856e,DevOps Engineer,Northeast,Manufacturing,2022-11-05,131065,"Excel, GCP, React, Azure",57,94,-37,44
ab25a866-23db-4392-b0b7-c24863e19635,DevOps Engineer,Midwest,Finance,2021-05-15,123348,"Deep Learning, AWS, Node.js, Tableau, SQL",73,51,22,6
6b2b7d2e-a675-4104-a421-3cfa05119694,HR Manager,Midwest,Finance,2023-04-05,92338,"Tableau, SQL, Leadership, React, Docker, Python",57,62,-5,29
f72ca411-9603-4ee9-8490-240aca69c3c2,Machine Learning Engineer,West,Finance,2020-11-22,192366,"AWS, React, Deep Learning, SQL",63,32,31,7
b2de4a3e-1f92-44d1-a687-f263d6fdc44f,Machine Learning Engineer,West,Healthcare,2024-12-29,170968,"GCP, Spark, SQL, Communication, Machine Learning",74,93,-19,7
1696a723-9b43-4f18-99f6-57c8f1c5f477,HR Manager,West,Finance,2023-04-19,94902,"Communication, Docker, Kubernetes, React, Leadership",76,45,31,9
e3fb967c-9e66-4cf1-8576-5ac4a1d46414,Data Analyst,Midwest,Healthcare,2024-05-26,72560,"AWS, SQL, Excel, Tableau",57,93,-36,21
66057839-052e-4490-82db-99717c0d7ff2,Business Analyst,Midwest,Retail,2024-03-24,76840,"Deep Learning, Azure, Excel, Node.js, Tableau",54,74,-20,23
e9112e51-3302-41f6-a6da-10c2bc6cb906,Product Manager,West,Healthcare,2021-05-05,130983,"GCP, React, Kubernetes",51,81,-30,16
02befb4b-6c82-4724-ba5b-6b5b37a0bdd3,HR Manager,Midwest,Retail,2020-04-30,79963,"Deep Learning, Node.js, GCP, Azure",54,89,-35,25
bdec203c-afc1-49de-bb12-5bf876f8ee8f,Product Manager,Midwest,Retail,2023-09-18,105474,"Docker, Node.js, Kubernetes, Machine Learning, Excel, SQL",63,65,-2,46
5ad11e06-5e5e-4336-981d-aaf63ed432ef,Data Engineer,Northeast,Retail,2022-03-13,158171,"Node.js, Docker, Leadership, React, Tableau, Spark",89,50,39,6
8c5f6da8-1997-4cc6-acb6-25131372cc09,HR Manager,South,Manufacturing,2020-10-28,104661,"GCP, Tableau, AWS, Spark",51,52,-1,35
b1ae3c89-6759-469e-a359-1c7faf789910,DevOps Engineer,West,Finance,2024-11-27,141119,"Communication, Leadership, Spark, Machine Learning",77,83,-6,26
949d6ff7-90e0-4058-8fe2-64764497c632,HR Manager,West,Manufacturing,2020-12-10,119465,"React, Azure, Docker",46,62,-16,17
14eb48dd-5a4d-4280-8b61-094ee550e744,Data Engineer,South,Manufacturing,2022-10-06,120823,"Deep Learning, Python, GCP, Excel, Kubernetes, Spark",63,93,-30,31
b9478621-7563-478d-a089-5eebc424334d,Data Engineer,South,Healthcare,2024-09-20,112260,"Tableau, Communication, Machine Learning, Python, Kubernetes",50,44,6,6
30bd6de3-b99f-4977-a208-39549beeb40a,Data Engineer,Midwest,Healthcare,2024-10-21,118639,"Leadership, Deep Learning, Tableau, SQL, Node.js",80,44,36,21
c3d4fa51-6a90-4483-8867-e7b31cf5d383,HR Manager,Midwest,Retail,2024-02-19,99439,"Communication, AWS, Tableau, Python, GCP",96,33,63,38
86c9fa6c-355e-48a8-8b73-3324ef2748a6,Cloud Architect,South,Finance,2021-09-23,134559,"Docker, React, SQL",48,50,-2,38
57dbce01-21f8-4294-92f7-42fe6c1112d8,DevOps Engineer,West,Finance,2025-05-15,141060,"Kubernetes, Azure, Docker, Machine Learning, Communication, Node.js",92,30,62,9
8fb472ed-d8af-4681-b004-63891d586e86,Software Engineer,South,Manufacturing,2023-08-19,118894,"SQL, Azure, AWS, Leadership, Docker",73,65,8,15
ae8df710-fbaf-4827-8c79-0c3dcb1e33ad,DevOps Engineer,West,Manufacturing,2023-04-01,162599,"Excel, Tableau, Docker, Deep Learning, Leadership, React",44,68,-24,47
ffba28d1-57bf-4d0a-8a11-2676104956f5,Data Analyst,West,Tech,2021-03-21,90709,"Docker, AWS, Tableau, Excel, Machine Learning",90,31,59,48
47be584d-0ba0-4383-bb9a-b08489c6ad9f,Software Engineer,South,Retail,2020-11-13,114668,"Docker, Machine Learning, Kubernetes, AWS, Tableau, GCP",74,38,36,46
bdc15230-e1e0-42f5-b27d-a187e1f7b5c1,Product Manager,West,Manufacturing,2021-02-13,172444,"React, SQL, Leadership, AWS, Excel, Tableau",53,61,-8,26
910cc307-97ee-47ab-b690-0de0099c4677,Data Engineer,South,Tech,2022-09-16,122284,"Python, Deep Learning, Communication",92,66,26,21
3a6a0342-2458-4dbf-8ac6-ade9767698b5,DevOps Engineer,West,Tech,2023-07-11,126760,"Excel, AWS, Tableau",43,58,-15,42
d6309e73-c34e-4e10-91c4-bc16c0b859d6,DevOps Engineer,West,Tech,2022-02-14,169275,"Azure, GCP, Tableau, AWS, Excel",54,37,17,37
062f650c-72dd-4141-835b-9675a5c6d2f6,Data Analyst,Midwest,Manufacturing,2025-12-29,64710,"Leadership, Tableau, Spark, GCP, Deep Learning, Node.js",90,74,16,26
8d4a14af-ed33-4126-8302-015836b8d37a,Data Engineer,South,Healthcare,2025-04-05,115201,"SQL, Azure, Tableau",60,76,-16,5
2d5d138d-b5ba-42c3-95a1-045cba5b10ab,Business Analyst,West,Healthcare,2020-10-19,108416,"React, Spark, AWS, Kubernetes",100,91,9,11
ab4cbbb6-4163-4928-9d15-5c658bf21ed2,Product Manager,West,Healthcare,2022-03-12,131020,"AWS, Machine Learning, Excel, Python, Kubernetes",96,76,20,41
c0f201bc-9c8e-4a37-9205-b9eacb1cc4c1,Machine Learning Engineer,South,Finance,2021-03-24,165320,"Machine Learning, Spark, Tableau, GCP",73,37,36,23
cc5f4a2d-afeb-4f29-9d77-1578f73882c0,Machine Learning Engineer,Northeast,Manufacturing,2025-08-20,169779,"Docker, GCP, Leadership",73,48,25,15
ed8af023-144b-4e8f-aa3e-c9cdb8206c8e,Data Scientist,South,Healthcare,2020-05-04,149268,"Kubernetes, AWS, GCP, Communication, Node.js, Leadership",57,35,22,39
a4d79288-aa2d-4006-835e-65d6e4a0e741,Cloud Architect,Northeast,Finance,2021-01-06,160470,"Communication, Excel, Python, Node.js, Leadership",80,82,-2,11
